Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 28, 2015",vs Denver,REG,L,105-85,L,-10.5,U,212.0
"Oct 30, 2015",vs Golden State,REG,L,112-92,L,1.0,U,216.5
"Nov 1, 2015",@ Miami,REG,L,109-89,L,4.0,U,207.5
"Nov 2, 2015",vs Oklahoma City,REG,W,110-105,W,4.5,U,217.5
"Nov 4, 2015",vs Orlando,REG,W,119-114,L,-9.0,O,207.5
"Nov 6, 2015",@ Sacramento,REG,W,116-110,W,-4.5,O,219.0
"Nov 7, 2015",@ LA Clippers,REG,W,109-105,W,5.5,O,211.5
"Nov 11, 2015",vs Brooklyn,REG,L,106-98,L,-11.0,U,208.0
"Nov 13, 2015",@ Denver,REG,L,107-98,L,-6.5,U,210.5
"Nov 14, 2015",vs Dallas,REG,L,110-98,L,-7.5,O,207.5
"Nov 16, 2015",vs Boston,REG,L,111-95,L,-5.0,U,207.0
"Nov 18, 2015",vs Portland,REG,W,108-103,L,-7.0,O,210.5
"Nov 20, 2015",@ Memphis,REG,L,96-84,L,2.5,U,199.5
"Nov 21, 2015",vs New York,REG,L,107-102,L,-4.5,O,202.0
"Nov 25, 2015",vs Memphis,REG,L,102-93,L,-4.5,U,198.5
"Nov 27, 2015",vs Philadelphia,REG,W,116-114,L,-11.5,O,200.5
"Nov 29, 2015",@ New York,REG,W,116-111,W,-3.5,O,199.0
"Nov 30, 2015",@ Detroit,REG,L,116-105,L,4.5,O,198.0
"Dec 2, 2015",vs New Orleans,REG,W,108-101,W,-3.5,U,214.5
"Dec 4, 2015",@ Dallas,REG,W,100-96,W,5.0,U,212.0
"Dec 5, 2015",vs Sacramento,REG,W,120-113,W,-3.0,O,218.0
"Dec 8, 2015",@ Brooklyn,REG,L,110-105,L,-5.0,O,207.0
"Dec 9, 2015",@ Washington,REG,W,109-103,W,4.5,U,214.0
"Dec 12, 2015",vs LA Lakers,REG,W,126-97,W,-12.0,O,212.0
"Dec 14, 2015",@ Denver,REG,L,114-108,L,-4.5,O,209.5
"Dec 15, 2015",@ Sacramento,REG,L,107-97,L,2.5,U,221.5
"Dec 17, 2015",@ LA Lakers,REG,W,107-87,W,-6.5,U,215.0
"Dec 19, 2015",vs LA Clippers,REG,W,107-97,W,2.5,U,213.0
"Dec 21, 2015",vs Charlotte,REG,W,102-95,W,-3.5,U,208.0
"Dec 23, 2015",@ Orlando,REG,L,104-101,L,1.5,U,207.5
"Dec 25, 2015",vs San Antonio,REG,W,88-84,W,7.0,U,204.5
"Dec 26, 2015",@ New Orleans,REG,L,110-108,L,-1.5,O,209.0
"Dec 29, 2015",vs Atlanta,REG,L,121-115,L,-3.5,O,208.0
"Dec 31, 2015",vs Golden State,REG,L,114-110,L,-3.5,O,211.0
"Jan 2, 2016",@ San Antonio,REG,L,121-103,L,11.0,O,201.5
"Jan 4, 2016",@ Utah,REG,W,93-91,L,-3.5,U,198.0
"Jan 7, 2016",vs Utah,REG,W,103-94,W,-6.5,O,196.5
"Jan 10, 2016",vs Indiana,REG,W,107-103,W,-2.5,O,207.0
"Jan 12, 2016",@ Memphis,REG,W,107-91,W,-2.0,O,196.0
"Jan 13, 2016",vs Minnesota,REG,W,107-104,L,-7.5,O,207.0
"Jan 15, 2016",vs Cleveland,REG,L,91-77,L,2.0,U,205.0
"Jan 17, 2016",@ LA Lakers,REG,W,112-95,W,-9.5,O,205.5
"Jan 18, 2016",@ LA Clippers,REG,L,140-132,L,5.0,O,209.5
"Jan 20, 2016",vs Detroit,REG,L,123-114,L,-3.0,O,209.5
"Jan 22, 2016",vs Milwaukee,REG,W,102-98,W,-2.5,U,211.0
"Jan 24, 2016",vs Dallas,REG,W,115-104,W,-4.0,O,205.0
"Jan 25, 2016",@ New Orleans,REG,W,112-111,W,4.0,O,216.5
"Jan 27, 2016",@ San Antonio,REG,L,130-99,L,9.5,O,209.5
"Jan 29, 2016",@ Oklahoma City,REG,L,116-108,P,8.0,O,223.0
"Jan 30, 2016",vs Washington,REG,L,123-122,L,-4.5,O,219.0
"Feb 2, 2016",vs Miami,REG,W,115-102,W,-4.5,O,211.0
"Feb 4, 2016",@ Phoenix,REG,W,111-105,L,-7.5,U,217.5
"Feb 6, 2016",vs Portland,REG,L,96-79,L,-5.0,U,219.0
"Feb 9, 2016",@ Golden State,REG,L,123-110,W,14.0,O,229.0
"Feb 10, 2016",@ Portland,REG,L,116-103,L,4.5,O,215.0
"Feb 19, 2016",@ Phoenix,REG,W,116-100,W,-8.0,O,214.0
