Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 28, 2015",@ Orlando,REG,W,88-87,L,-4.0,U,202.5
"Oct 30, 2015",@ Milwaukee,REG,W,118-113,W,-2.5,O,199.5
"Oct 31, 2015",vs New York,REG,L,117-110,L,-7.5,O,205.0
"Nov 4, 2015",vs San Antonio,REG,W,102-99,W,4.0,P,201.0
"Nov 6, 2015",@ Boston,REG,L,118-98,L,1.5,O,210.0
"Nov 7, 2015",@ Atlanta,REG,L,114-99,L,5.0,O,205.5
"Nov 10, 2015",vs Oklahoma City,REG,L,125-101,L,6.5,O,216.0
"Nov 14, 2015",vs Orlando,REG,W,108-99,W,-5.5,O,203.5
"Nov 17, 2015",vs Milwaukee,REG,W,115-86,W,-3.5,O,197.5
"Nov 21, 2015",@ Detroit,REG,W,97-95,W,0.0,U,206.0
"Nov 24, 2015",vs Indiana,REG,L,123-106,L,-3.0,O,207.5
"Nov 25, 2015",@ Charlotte,REG,L,101-87,L,3.5,U,209.0
"Nov 27, 2015",@ Boston,REG,L,111-78,L,3.0,U,211.0
"Nov 28, 2015",vs Toronto,REG,L,84-82,W,3.5,U,201.0
"Dec 1, 2015",@ Cleveland,REG,W,97-85,W,8.5,U,205.0
"Dec 2, 2015",vs LA Lakers,REG,L,108-104,L,-10.0,O,204.0
"Dec 4, 2015",vs Phoenix,REG,W,109-106,W,2.5,P,215.0
"Dec 6, 2015",vs Dallas,REG,L,116-104,L,2.5,O,208.0
"Dec 7, 2015",@ Miami,REG,W,114-103,W,8.0,O,196.5
"Dec 9, 2015",vs Houston,REG,L,109-103,L,-4.5,U,214.0
"Dec 11, 2015",@ New Orleans,REG,L,107-105,W,3.5,O,211.0
"Dec 12, 2015",@ Dallas,REG,W,114-111,W,6.5,O,205.0
"Dec 14, 2015",@ Memphis,REG,L,112-95,L,3.0,O,201.0
"Dec 16, 2015",@ San Antonio,REG,L,114-95,L,13.0,O,198.0
"Dec 19, 2015",vs Charlotte,REG,W,109-101,W,1.5,O,206.0
"Dec 21, 2015",vs Sacramento,REG,W,113-99,W,-2.5,U,219.0
"Dec 23, 2015",vs Memphis,REG,W,100-91,W,1.0,U,201.5
"Dec 26, 2015",@ Brooklyn,REG,W,111-96,W,-3.0,O,205.0
"Dec 28, 2015",vs LA Clippers,REG,L,108-91,L,-1.0,U,207.5
"Dec 30, 2015",@ Toronto,REG,L,94-91,W,7.5,U,203.5
"Jan 1, 2016",vs Orlando,REG,W,103-91,W,-1.5,U,203.0
"Jan 3, 2016",vs Miami,REG,L,97-75,L,1.5,U,197.5
"Jan 6, 2016",vs Cleveland,REG,L,121-115,W,7.5,O,202.5
"Jan 8, 2016",vs Toronto,REG,L,97-88,L,2.0,U,202.5
"Jan 9, 2016",@ Orlando,REG,W,105-99,W,3.5,O,199.0
