Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 28, 2015",@ Detroit,REG,L,92-87,L,0.0,U,191.5
"Oct 30, 2015",@ Philadelphia,REG,W,99-71,W,-7.5,U,186.0
"Oct 31, 2015",@ Indiana,REG,W,97-76,W,3.5,U,193.5
"Nov 4, 2015",vs Portland,REG,L,108-92,L,-7.0,O,189.5
"Nov 5, 2015",@ Denver,REG,W,96-84,W,-3.0,U,190.5
"Nov 7, 2015",vs Memphis,REG,W,89-79,W,-2.5,U,180.0
"Nov 10, 2015",@ Cleveland,REG,L,118-114,W,5.5,O,186.5
"Nov 12, 2015",@ Miami,REG,L,92-91,W,4.0,U,184.0
"Nov 13, 2015",@ Orlando,REG,L,102-93,L,-1.5,O,188.5
"Nov 15, 2015",@ Atlanta,REG,W,97-96,W,3.0,O,191.5
"Nov 18, 2015",vs Toronto,REG,W,93-89,P,-4.0,U,191.5
"Nov 20, 2015",@ Dallas,REG,L,102-93,L,1.5,U,196.0
"Nov 23, 2015",vs Oklahoma City,REG,L,111-89,L,-1.5,U,201.0
"Nov 25, 2015",@ LA Clippers,REG,W,102-91,W,4.5,U,197.0
"Nov 28, 2015",vs New Orleans,REG,W,101-87,W,-5.5,U,195.5
"Nov 30, 2015",vs Golden State,REG,L,106-103,W,7.5,O,202.0
"Dec 3, 2015",vs Orlando,REG,L,103-94,L,-4.0,O,192.5
"Dec 5, 2015",vs Indiana,REG,W,122-119,W,2.0,O,196.5
"Dec 8, 2015",@ Sacramento,REG,L,114-106,L,2.5,O,206.0
"Dec 9, 2015",vs New York,REG,W,106-85,W,-3.0,U,192.5
"Dec 11, 2015",vs Oklahoma City,REG,L,94-90,L,3.5,U,204.0
"Dec 13, 2015",@ Oklahoma City,REG,L,104-98,W,9.0,U,203.5
"Dec 14, 2015",@ San Antonio,REG,L,118-81,L,12.5,O,186.5
"Dec 16, 2015",vs New Orleans,REG,L,104-94,L,-3.5,U,200.5
"Dec 18, 2015",vs Denver,REG,W,97-88,W,-5.5,U,194.0
"Dec 21, 2015",vs Phoenix,REG,W,110-89,W,-4.5,O,198.0
"Dec 23, 2015",@ Golden State,REG,L,103-85,L,14.0,U,207.5
"Dec 26, 2015",vs LA Clippers,REG,L,109-104,L,2.0,O,192.5
"Dec 28, 2015",vs Philadelphia,REG,W,95-91,L,-8.5,U,195.0
"Dec 30, 2015",@ Minnesota,REG,L,94-80,L,4.0,U,191.0
"Dec 31, 2015",vs Portland,REG,W,109-96,W,-3.0,O,188.0
"Jan 2, 2016",vs Memphis,REG,W,92-87,W,2.0,U,184.5
"Jan 4, 2016",vs Houston,REG,L,93-91,W,3.5,U,198.0
"Jan 6, 2016",@ San Antonio,REG,L,123-98,L,13.5,O,183.5
"Jan 7, 2016",@ Houston,REG,L,103-94,L,6.5,O,196.5
"Jan 9, 2016",vs Miami,REG,W,98-83,W,1.5,U,182.5
"Jan 10, 2016",@ LA Lakers,REG,W,86-74,W,-3.5,U,191.0
"Jan 13, 2016",@ Portland,REG,L,99-85,L,3.5,U,192.5
"Jan 14, 2016",vs Sacramento,REG,L,103-101,L,-2.5,O,200.5
"Jan 16, 2016",vs LA Lakers,REG,W,109-82,W,-8.5,P,191.0
"Jan 18, 2016",@ Charlotte,REG,L,124-119,L,3.5,O,186.0
"Jan 20, 2016",@ New York,REG,L,118-111,L,2.5,O,188.5
"Jan 22, 2016",@ Brooklyn,REG,W,108-86,W,-5.5,O,188.5
"Jan 25, 2016",vs Detroit,REG,L,95-92,L,-2.5,U,192.5
"Jan 27, 2016",vs Charlotte,REG,W,102-73,W,-6.5,U,193.0
"Jan 29, 2016",vs Minnesota,REG,W,103-90,W,-8.5,O,192.5
"Feb 1, 2016",vs Chicago,REG,W,105-96,W,-5.5,O,190.5
"Feb 3, 2016",vs Denver,REG,W,85-81,L,-8.0,U,195.0
"Feb 5, 2016",vs Milwaukee,REG,W,84-81,L,-7.0,U,188.0
"Feb 6, 2016",@ Phoenix,REG,W,98-89,W,-7.0,U,187.5
"Feb 9, 2016",@ Dallas,REG,W,121-119,W,1.5,O,187.5
