Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 28, 2015",@ Milwaukee,REG,W,122-97,W,4.5,O,194.5
"Oct 29, 2015",vs Atlanta,REG,L,112-101,L,4.5,O,199.0
"Oct 31, 2015",@ Washington,REG,W,117-110,W,7.5,O,205.0
"Nov 2, 2015",vs San Antonio,REG,L,94-84,L,7.5,U,203.0
"Nov 4, 2015",@ Cleveland,REG,L,96-86,W,10.5,U,205.0
"Nov 6, 2015",vs Milwaukee,REG,L,99-92,L,-1.5,U,196.5
"Nov 8, 2015",vs LA Lakers,REG,W,99-95,L,-5.5,U,211.5
"Nov 10, 2015",@ Toronto,REG,W,111-109,W,7.5,O,196.5
"Nov 11, 2015",@ Charlotte,REG,L,95-93,W,6.5,U,200.5
"Nov 13, 2015",vs Cleveland,REG,L,90-84,W,7.0,U,203.5
"Nov 15, 2015",vs New Orleans,REG,W,95-87,W,-1.5,U,203.5
"Nov 17, 2015",vs Charlotte,REG,W,102-94,W,-1.0,P,196.0
"Nov 20, 2015",@ Oklahoma City,REG,W,93-90,W,6.5,U,206.5
"Nov 21, 2015",@ Houston,REG,W,107-102,W,4.5,O,202.0
"Nov 23, 2015",@ Miami,REG,L,95-78,L,5.0,U,189.5
"Nov 25, 2015",@ Orlando,REG,L,100-91,L,1.5,U,195.0
"Nov 27, 2015",vs Miami,REG,L,97-78,L,1.0,U,187.0
"Nov 29, 2015",vs Houston,REG,L,116-111,L,3.5,O,199.0
"Dec 2, 2015",vs Philadelphia,REG,W,99-87,W,-8.5,U,191.0
"Dec 4, 2015",vs Brooklyn,REG,W,108-91,W,-3.5,O,193.0
"Dec 5, 2015",@ Milwaukee,REG,L,106-91,L,-2.5,O,189.0
"Dec 7, 2015",vs Dallas,REG,L,104-97,L,0.0,O,198.5
"Dec 9, 2015",@ Utah,REG,L,106-85,L,3.0,U,192.5
"Dec 10, 2015",@ Sacramento,REG,L,99-97,W,6.0,U,210.0
"Dec 12, 2015",@ Portland,REG,W,112-110,W,3.5,O,198.0
"Dec 16, 2015",vs Minnesota,REG,W,107-102,W,-4.0,O,199.0
"Dec 18, 2015",@ Philadelphia,REG,W,107-97,W,-5.5,O,196.0
"Dec 19, 2015",vs Chicago,REG,W,107-91,W,-2.5,O,194.5
"Dec 21, 2015",vs Orlando,REG,L,107-99,L,-3.0,O,198.5
"Dec 23, 2015",@ Cleveland,REG,L,91-84,W,12.5,U,195.0
