Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Apr 6, 2018",@ Toronto,REG,L,92-73,L,7.0,U,210.0
"Apr 8, 2018",@ Charlotte,REG,W,123-117,W,-1.0,O,214.5
"Apr 10, 2018",vs Charlotte,REG,L,119-93,L,-1.5,U,216.5
"Apr 15, 2018",@ Cleveland,PST,W,98-80,W,7.5,U,212.0
"Apr 18, 2018",@ Cleveland,PST,L,100-97,W,8.0,U,212.5
"Apr 20, 2018",vs Cleveland,PST,W,92-90,W,-1.5,U,209.5
"Apr 22, 2018",vs Cleveland,PST,L,104-100,L,2.0,U,206.5
"Apr 25, 2018",@ Cleveland,PST,L,98-95,W,6.5,U,205.5
"Apr 27, 2018",vs Cleveland,PST,W,121-87,W,-1.5,O,202.0
"Apr 29, 2018",@ Cleveland,PST,L,105-101,W,5.5,O,200.5
