Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2017",@ Orlando,REG,L,116-109,L,-3.5,O,205.5
"Oct 21, 2017",vs Indiana,REG,W,112-108,L,-9.5,O,214.5
"Oct 23, 2017",vs Atlanta,REG,W,104-93,P,-11.0,U,205.0
"Oct 25, 2017",vs San Antonio,REG,L,117-100,L,3.0,O,196.5
"Oct 28, 2017",vs Boston,REG,L,96-90,L,0.0,U,204.5
"Oct 30, 2017",vs Minnesota,REG,L,125-122,P,3.0,O,216.0
"Nov 1, 2017",vs Chicago,REG,W,97-91,L,-10.5,U,196.5
"Nov 3, 2017",@ Denver,REG,L,95-94,W,5.5,U,216.0
"Nov 5, 2017",@ LA Clippers,REG,W,104-101,W,5.5,P,205.0
"Nov 6, 2017",@ Golden State,REG,L,97-80,L,14.5,U,223.0
"Nov 8, 2017",@ Phoenix,REG,W,126-115,W,-6.0,O,217.0
"Nov 10, 2017",@ Utah,REG,W,84-74,W,2.5,U,193.5
"Nov 12, 2017",@ Detroit,REG,L,112-103,L,2.5,O,200.5
"Nov 15, 2017",vs Washington,REG,L,102-93,L,-2.0,U,211.5
"Nov 17, 2017",@ Washington,REG,W,91-88,W,4.5,U,205.5
"Nov 19, 2017",vs Indiana,REG,L,120-95,L,-5.5,O,208.5
"Nov 22, 2017",vs Boston,REG,W,104-98,W,1.5,O,196.0
"Nov 24, 2017",@ Minnesota,REG,W,109-97,W,3.5,U,207.0
"Nov 26, 2017",@ Chicago,REG,W,100-93,L,-7.5,U,194.5
"Nov 28, 2017",@ Cleveland,REG,L,108-97,L,4.0,U,210.0
"Nov 29, 2017",@ New York,REG,L,115-86,L,1.5,U,206.5
"Dec 1, 2017",vs Charlotte,REG,W,105-100,W,-2.0,U,206.0
"Dec 3, 2017",vs Golden State,REG,L,123-95,L,10.5,U,221.5
"Dec 6, 2017",@ San Antonio,REG,L,117-105,L,7.5,O,197.5
"Dec 9, 2017",@ Brooklyn,REG,W,101-89,W,-2.5,U,212.5
"Dec 11, 2017",@ Memphis,REG,W,107-82,W,1.5,U,194.5
"Dec 13, 2017",vs Portland,REG,L,102-95,L,-3.0,U,204.0
"Dec 15, 2017",@ Charlotte,REG,W,104-98,W,5.0,U,203.5
"Dec 16, 2017",vs LA Clippers,REG,W,90-85,L,-6.0,U,205.5
"Dec 18, 2017",@ Atlanta,REG,L,110-104,L,2.0,O,201.5
"Dec 20, 2017",@ Boston,REG,W,90-89,W,9.0,U,199.5
"Dec 22, 2017",vs Dallas,REG,W,113-101,W,2.0,O,195.5
"Dec 23, 2017",vs New Orleans,REG,L,109-94,L,3.0,U,209.0
"Dec 26, 2017",vs Orlando,REG,W,107-89,W,-9.0,U,204.5
"Dec 29, 2017",vs Brooklyn,REG,L,111-87,L,-6.0,U,204.0
"Dec 30, 2017",@ Orlando,REG,W,117-111,W,-1.5,O,206.0
"Jan 3, 2018",vs Detroit,REG,W,111-104,W,-4.5,O,198.5
"Jan 5, 2018",vs New York,REG,W,107-103,L,-6.5,O,202.0
"Jan 7, 2018",vs Utah,REG,W,103-102,L,-4.0,O,196.0
"Jan 9, 2018",@ Toronto,REG,W,90-89,W,4.0,U,205.0
"Jan 10, 2018",@ Indiana,REG,W,114-106,W,4.5,O,202.5
"Jan 14, 2018",vs Milwaukee,REG,W,97-79,W,-1.5,U,204.5
"Jan 15, 2018",@ Chicago,REG,L,119-111,L,1.5,O,206.5
"Jan 17, 2018",@ Milwaukee,REG,W,106-101,W,4.5,O,202.5
"Jan 19, 2018",@ Brooklyn,REG,L,101-95,L,-3.0,U,206.5
"Jan 20, 2018",@ Charlotte,REG,W,106-105,W,7.0,O,201.0
"Jan 22, 2018",@ Houston,REG,L,99-90,W,10.5,U,213.0
"Jan 25, 2018",vs Sacramento,REG,L,89-88,L,-9.5,U,200.5
"Jan 27, 2018",vs Charlotte,REG,W,95-91,P,-4.0,U,207.5
"Jan 29, 2018",@ Dallas,REG,W,95-88,W,-2.0,U,196.0
"Jan 31, 2018",@ Cleveland,REG,L,91-89,W,2.5,U,217.5
"Feb 2, 2018",@ Philadelphia,REG,L,103-97,L,4.0,U,203.0
"Feb 3, 2018",@ Detroit,REG,L,111-107,W,4.5,O,200.5
"Feb 5, 2018",vs Orlando,REG,L,111-109,L,-8.5,O,205.5
"Feb 7, 2018",vs Houston,REG,L,109-101,L,4.5,O,207.0
"Feb 9, 2018",vs Milwaukee,REG,W,91-85,W,-1.0,U,199.0
"Feb 13, 2018",@ Toronto,REG,L,115-112,W,8.0,O,205.0
"Feb 14, 2018",@ Philadelphia,REG,L,104-102,W,4.5,O,202.5
"Feb 23, 2018",@ New Orleans,REG,L,124-123,W,2.0,O,215.5
"Feb 24, 2018",vs Memphis,REG,W,115-89,W,-9.5,O,198.5
"Feb 27, 2018",vs Philadelphia,REG,W,102-101,P,-1.0,U,205.0
"Mar 1, 2018",vs LA Lakers,REG,L,131-113,L,-5.5,O,218.0
"Mar 3, 2018",vs Detroit,REG,W,105-96,W,-5.0,U,203.5
"Mar 5, 2018",vs Phoenix,REG,W,125-103,W,-9.5,O,219.0
"Mar 6, 2018",@ Washington,REG,L,117-113,P,4.0,O,205.0
"Mar 8, 2018",vs Philadelphia,REG,W,108-99,W,-1.0,U,210.5
"Mar 10, 2018",vs Washington,REG,W,129-102,W,-4.0,O,207.0
"Mar 12, 2018",@ Portland,REG,L,115-99,L,6.0,O,208.5
"Mar 14, 2018",@ Sacramento,REG,L,123-119,L,-7.0,O,206.5
"Mar 16, 2018",@ LA Lakers,REG,W,92-91,W,2.5,U,220.5
"Mar 19, 2018",vs Denver,REG,W,149-141,W,-1.5,O,213.5
"Mar 21, 2018",vs New York,REG,W,119-98,W,-9.5,P,217.0
"Mar 23, 2018",@ Oklahoma City,REG,L,105-99,P,6.0,U,216.5
"Mar 25, 2018",@ Indiana,REG,L,113-107,L,3.5,O,205.0
"Mar 27, 2018",vs Cleveland,REG,W,98-79,W,2.0,U,221.5
"Mar 29, 2018",vs Chicago,REG,W,103-92,L,-13.0,U,209.0
"Mar 31, 2018",vs Brooklyn,REG,L,110-109,L,-8.0,O,213.5
"Apr 3, 2018",vs Atlanta,REG,W,101-98,L,-12.5,U,207.0
"Apr 4, 2018",@ Atlanta,REG,W,115-86,W,-7.0,U,207.0
"Apr 6, 2018",@ New York,REG,L,122-98,L,-8.5,O,208.0
"Apr 9, 2018",vs Oklahoma City,REG,L,115-93,L,4.5,U,212.5
"Apr 11, 2018",vs Toronto,REG,W,116-109,W,-2.5,O,201.5
"Apr 14, 2018",@ Philadelphia,PST,L,130-103,L,5.5,O,214.0
"Apr 16, 2018",@ Philadelphia,PST,W,113-103,W,6.5,U,217.0
"Apr 19, 2018",vs Philadelphia,PST,L,128-108,L,2.5,O,214.0
