Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 19, 2017",@ Oklahoma City,REG,L,105-84,L,12.5,U,215.5
"Oct 21, 2017",vs Detroit,REG,L,111-107,L,1.0,O,204.5
"Oct 24, 2017",@ Boston,REG,L,110-89,L,7.0,U,208.0
"Oct 27, 2017",vs Brooklyn,REG,W,107-86,W,-2.0,U,222.5
"Oct 29, 2017",@ Cleveland,REG,W,114-95,W,10.5,U,212.5
"Oct 30, 2017",vs Denver,REG,W,116-110,W,4.5,O,211.5
"Nov 1, 2017",vs Houston,REG,L,119-97,L,5.5,O,214.0
"Nov 3, 2017",vs Phoenix,REG,W,120-107,W,-4.5,O,220.5
"Nov 5, 2017",vs Indiana,REG,W,108-101,W,1.0,U,216.0
"Nov 7, 2017",vs Charlotte,REG,W,118-113,W,2.0,O,208.5
"Nov 8, 2017",@ Orlando,REG,L,112-99,L,8.5,U,214.5
"Nov 11, 2017",vs Sacramento,REG,W,118-91,W,-6.5,O,201.5
"Nov 13, 2017",vs Cleveland,REG,L,104-101,W,5.0,U,221.5
"Nov 15, 2017",vs Utah,REG,W,106-101,W,-3.5,O,203.0
"Nov 17, 2017",@ Toronto,REG,L,107-84,L,7.5,U,217.0
"Nov 20, 2017",vs LA Clippers,REG,W,107-85,W,2.0,U,208.5
"Nov 22, 2017",vs Toronto,REG,W,108-100,W,4.5,U,210.5
"Nov 24, 2017",@ Atlanta,REG,L,116-104,L,2.0,O,207.0
"Nov 25, 2017",@ Houston,REG,L,117-102,W,18.5,O,214.0
"Nov 27, 2017",vs Portland,REG,L,103-91,L,1.5,U,204.0
"Nov 29, 2017",vs Miami,REG,W,115-86,W,-1.5,U,206.5
"Dec 3, 2017",vs Orlando,REG,L,105-100,L,2.5,U,211.0
"Dec 4, 2017",@ Indiana,REG,L,115-97,L,11.0,P,212.0
"Dec 6, 2017",vs Memphis,REG,W,99-88,W,-1.5,U,197.0
"Dec 9, 2017",@ Chicago,REG,L,104-102,L,-3.5,O,199.5
"Dec 10, 2017",vs Atlanta,REG,W,111-107,L,-5.5,O,206.5
"Dec 12, 2017",vs LA Lakers,REG,W,113-109,W,-2.5,O,211.0
"Dec 14, 2017",@ Brooklyn,REG,W,111-104,W,1.5,O,213.0
"Dec 16, 2017",vs Oklahoma City,REG,W,111-96,W,4.5,O,202.0
"Dec 18, 2017",@ Charlotte,REG,L,109-91,L,8.5,U,206.0
"Dec 21, 2017",vs Boston,REG,W,102-93,W,2.5,U,203.5
"Dec 22, 2017",@ Detroit,REG,L,104-101,W,6.5,O,202.5
"Dec 25, 2017",vs Philadelphia,REG,L,105-98,L,1.5,U,211.5
"Dec 27, 2017",@ Chicago,REG,L,92-87,L,1.5,U,208.0
"Dec 28, 2017",@ San Antonio,REG,L,119-107,L,10.5,O,199.5
"Dec 30, 2017",@ New Orleans,REG,W,105-103,W,5.5,U,216.5
"Jan 2, 2018",vs San Antonio,REG,L,100-91,L,5.5,U,200.5
"Jan 3, 2018",@ Washington,REG,L,121-103,L,9.5,O,213.0
"Jan 5, 2018",@ Miami,REG,L,107-103,W,6.5,O,202.0
"Jan 7, 2018",@ Dallas,REG,W,100-96,W,5.0,U,204.0
"Jan 10, 2018",vs Chicago,REG,L,122-119,L,-5.0,O,208.0
"Jan 12, 2018",@ Minnesota,REG,L,118-108,L,9.0,O,208.5
"Jan 14, 2018",vs New Orleans,REG,L,123-118,L,2.5,O,218.0
"Jan 15, 2018",@ Brooklyn,REG,W,119-104,W,3.5,O,211.0
"Jan 17, 2018",@ Memphis,REG,L,105-99,L,-2.5,O,203.5
"Jan 19, 2018",@ Utah,REG,W,117-115,W,5.5,O,201.0
"Jan 21, 2018",@ LA Lakers,REG,L,127-107,L,-2.0,O,213.5
"Jan 23, 2018",@ Golden State,REG,L,123-112,W,16.0,O,227.0
"Jan 25, 2018",@ Denver,REG,L,130-118,L,7.0,O,211.5
"Jan 26, 2018",@ Phoenix,REG,W,107-85,W,-1.0,U,220.0
"Jan 30, 2018",vs Brooklyn,REG,W,111-95,W,-5.5,U,214.0
"Jan 31, 2018",@ Boston,REG,L,103-73,L,5.5,U,201.5
"Feb 2, 2018",@ Milwaukee,REG,L,92-90,W,4.5,U,208.5
"Feb 4, 2018",vs Atlanta,REG,L,99-96,L,-5.5,U,210.0
"Feb 6, 2018",vs Milwaukee,REG,L,103-89,L,-1.5,U,208.5
"Feb 8, 2018",@ Toronto,REG,L,113-88,L,14.0,U,213.0
"Feb 11, 2018",@ Indiana,REG,L,121-113,L,7.5,O,210.0
"Feb 12, 2018",@ Philadelphia,REG,L,108-92,L,11.5,U,209.5
"Feb 14, 2018",vs Washington,REG,L,118-113,L,4.5,O,210.5
"Feb 22, 2018",@ Orlando,REG,W,120-113,W,3.5,O,216.0
"Feb 24, 2018",vs Boston,REG,L,121-112,L,6.0,O,211.5
"Feb 26, 2018",vs Golden State,REG,L,125-111,L,12.5,O,229.5
"Mar 2, 2018",@ LA Clippers,REG,L,128-105,L,9.0,O,226.5
"Mar 4, 2018",@ Sacramento,REG,L,102-99,L,-3.0,U,215.5
"Mar 6, 2018",@ Portland,REG,L,111-87,L,9.5,U,215.5
"Mar 9, 2018",@ Milwaukee,REG,L,120-112,W,9.5,O,214.0
"Mar 11, 2018",vs Toronto,REG,L,132-106,L,10.0,O,216.5
"Mar 13, 2018",vs Dallas,REG,L,110-97,L,-1.0,U,216.0
"Mar 15, 2018",vs Philadelphia,REG,L,118-110,W,10.0,O,218.0
"Mar 17, 2018",vs Charlotte,REG,W,124-101,W,6.5,O,224.0
"Mar 19, 2018",vs Chicago,REG,W,110-92,W,-5.0,U,217.0
"Mar 21, 2018",@ Miami,REG,L,119-98,L,9.5,P,217.0
"Mar 23, 2018",vs Minnesota,REG,L,108-104,W,6.0,U,226.0
"Mar 25, 2018",@ Washington,REG,W,101-97,W,10.5,U,217.0
"Mar 26, 2018",@ Charlotte,REG,L,137-128,W,11.0,O,222.0
"Mar 28, 2018",@ Philadelphia,REG,L,118-101,L,13.5,U,223.0
"Mar 31, 2018",vs Detroit,REG,L,115-109,L,4.5,O,210.5
"Apr 3, 2018",vs Orlando,REG,L,97-73,L,-1.0,U,207.0
"Apr 6, 2018",vs Miami,REG,W,122-98,W,8.5,O,208.0
"Apr 7, 2018",vs Milwaukee,REG,L,115-102,L,8.0,O,215.5
"Apr 9, 2018",vs Cleveland,REG,L,123-109,L,12.0,O,222.0
"Apr 11, 2018",@ Cleveland,REG,W,110-98,W,8.5,U,214.0
