Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2017",vs Houston,REG,L,105-100,W,7.0,U,216.5
"Oct 20, 2017",@ Dallas,REG,W,93-88,W,6.0,U,202.0
"Oct 21, 2017",@ Denver,REG,L,96-79,L,12.5,U,212.5
"Oct 23, 2017",@ Phoenix,REG,L,117-115,L,-2.5,O,206.5
"Oct 26, 2017",vs New Orleans,REG,L,114-106,L,-1.0,O,204.0
"Oct 29, 2017",vs Washington,REG,L,110-83,L,7.5,U,208.5
"Oct 31, 2017",@ Indiana,REG,L,101-83,L,5.5,U,206.5
"Nov 1, 2017",@ Boston,REG,L,113-86,L,12.0,O,195.0
"Nov 4, 2017",@ Detroit,REG,L,108-99,P,9.0,O,195.0
"Nov 7, 2017",vs Oklahoma City,REG,W,94-86,W,10.5,U,202.5
"Nov 9, 2017",vs Philadelphia,REG,W,109-108,W,6.5,O,207.5
"Nov 11, 2017",@ New York,REG,L,118-91,L,6.5,O,201.5
"Nov 13, 2017",@ Washington,REG,L,110-92,L,11.0,U,208.0
"Nov 15, 2017",@ Atlanta,REG,L,126-80,L,5.0,O,205.0
"Nov 17, 2017",vs Portland,REG,W,86-82,W,7.0,U,199.0
"Nov 18, 2017",@ Portland,REG,L,102-90,P,12.0,U,194.5
"Nov 20, 2017",vs Denver,REG,L,114-98,L,5.0,O,210.5
"Nov 22, 2017",vs LA Lakers,REG,W,113-102,W,-1.0,O,205.5
"Nov 25, 2017",vs LA Clippers,REG,L,97-95,W,4.0,U,202.5
"Nov 27, 2017",@ Golden State,REG,W,110-106,W,13.0,O,204.0
"Nov 28, 2017",vs Milwaukee,REG,L,112-87,L,6.5,O,197.0
"Dec 1, 2017",@ Chicago,REG,W,107-106,P,-1.0,O,195.5
"Dec 2, 2017",@ Milwaukee,REG,L,109-104,W,13.0,O,199.5
"Dec 6, 2017",@ Cleveland,REG,L,101-95,W,12.5,U,210.0
"Dec 8, 2017",@ New Orleans,REG,W,116-109,W,9.5,O,208.5
"Dec 10, 2017",vs Toronto,REG,L,102-87,L,9.0,U,207.0
"Dec 12, 2017",vs Phoenix,REG,W,99-92,W,-4.5,U,210.0
"Dec 14, 2017",@ Minnesota,REG,L,119-96,L,11.0,O,201.5
"Dec 17, 2017",@ Toronto,REG,L,108-93,L,12.0,U,203.0
"Dec 19, 2017",@ Philadelphia,REG,W,101-95,W,8.5,U,207.5
"Dec 20, 2017",@ Brooklyn,REG,W,104-99,W,5.5,U,206.0
"Dec 23, 2017",vs San Antonio,REG,L,108-99,L,6.0,O,196.0
"Dec 26, 2017",@ LA Clippers,REG,L,122-95,L,5.5,O,205.5
"Dec 27, 2017",vs Cleveland,REG,W,109-95,W,9.0,U,207.5
"Dec 29, 2017",vs Phoenix,REG,L,111-101,L,-3.0,O,211.0
"Dec 31, 2017",vs Memphis,REG,L,114-96,L,-2.5,O,192.0
"Jan 2, 2018",vs Charlotte,REG,L,131-111,L,4.5,O,205.0
"Jan 6, 2018",vs Denver,REG,W,106-98,W,8.5,U,206.0
"Jan 8, 2018",vs San Antonio,REG,L,107-100,L,5.0,O,199.0
"Jan 9, 2018",@ LA Lakers,REG,L,99-86,L,8.0,U,213.0
"Jan 11, 2018",vs LA Clippers,REG,L,121-115,L,3.5,O,213.0
"Jan 13, 2018",@ LA Clippers,REG,L,126-105,L,7.0,O,216.0
"Jan 15, 2018",@ Oklahoma City,REG,L,95-88,W,12.0,U,208.5
"Jan 17, 2018",vs Utah,REG,L,120-105,L,4.5,O,203.5
"Jan 19, 2018",@ Memphis,REG,L,106-88,L,6.5,U,202.0
"Jan 22, 2018",@ Charlotte,REG,L,112-107,W,10.5,O,212.5
"Jan 23, 2018",@ Orlando,REG,W,105-99,W,7.5,U,211.0
"Jan 25, 2018",@ Miami,REG,W,89-88,W,9.5,U,200.5
"Jan 28, 2018",@ San Antonio,REG,L,113-98,L,11.5,O,196.5
"Jan 30, 2018",@ New Orleans,REG,W,114-103,W,9.5,O,215.5
"Feb 2, 2018",vs Golden State,REG,L,119-104,L,14.0,U,224.5
"Feb 3, 2018",vs Dallas,REG,L,106-99,L,4.5,O,200.5
"Feb 5, 2018",vs Chicago,REG,W,104-98,W,-2.5,U,212.5
"Feb 9, 2018",vs Portland,REG,L,118-100,L,4.5,O,206.5
"Feb 11, 2018",@ Minnesota,REG,L,111-106,W,13.5,O,210.5
"Feb 13, 2018",@ Dallas,REG,W,114-109,W,7.0,O,206.0
"Feb 14, 2018",@ Houston,REG,L,100-91,W,14.5,U,214.5
"Feb 22, 2018",vs Oklahoma City,REG,L,110-107,W,8.0,O,215.0
