Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 19, 2017",vs Chicago,REG,W,117-101,W,-13.0,O,207.0
"Oct 21, 2017",vs Philadelphia,REG,W,128-94,W,-9.0,O,219.0
"Oct 23, 2017",@ San Antonio,REG,L,101-97,L,2.5,U,201.5
"Oct 25, 2017",@ Golden State,REG,L,117-112,W,12.5,U,230.0
"Oct 27, 2017",@ LA Lakers,REG,W,101-92,W,-6.0,U,221.5
"Oct 30, 2017",@ Portland,REG,W,99-85,W,3.5,U,211.0
"Nov 1, 2017",@ Denver,REG,L,129-111,L,1.5,O,217.0
"Nov 3, 2017",@ Utah,REG,W,109-100,W,1.5,O,195.0
"Nov 5, 2017",vs Washington,REG,L,107-96,L,-6.5,U,213.5
"Nov 7, 2017",vs Chicago,REG,W,119-114,L,-11.0,O,201.0
"Nov 9, 2017",vs New Orleans,REG,W,122-118,L,-5.0,O,215.0
"Nov 12, 2017",@ Boston,REG,L,95-94,L,-3.5,U,202.0
"Nov 14, 2017",@ Houston,REG,W,129-113,W,6.5,O,218.5
"Nov 15, 2017",@ New Orleans,REG,W,125-116,W,3.0,O,218.0
"Nov 17, 2017",vs New York,REG,W,107-84,W,-7.5,U,217.0
"Nov 19, 2017",vs Washington,REG,W,100-91,W,-6.5,U,208.5
"Nov 22, 2017",@ New York,REG,L,108-100,L,-4.5,U,210.5
"Nov 24, 2017",@ Indiana,REG,L,107-104,L,-2.0,U,216.5
"Nov 25, 2017",@ Atlanta,REG,W,112-78,W,-6.5,U,208.5
"Nov 29, 2017",vs Charlotte,REG,W,126-113,W,-7.5,O,205.0
"Dec 1, 2017",vs Indiana,REG,W,120-115,L,-7.0,O,217.0
"Dec 5, 2017",vs Phoenix,REG,W,126-113,L,-14.5,O,224.5
"Dec 8, 2017",@ Memphis,REG,W,116-107,W,-5.5,O,201.5
"Dec 10, 2017",@ Sacramento,REG,W,102-87,W,-9.0,U,207.0
"Dec 11, 2017",@ LA Clippers,REG,L,96-91,L,-6.0,U,215.0
"Dec 13, 2017",@ Phoenix,REG,W,115-109,L,-12.0,O,221.0
"Dec 15, 2017",vs Brooklyn,REG,W,120-87,W,-13.0,U,218.0
"Dec 17, 2017",vs Sacramento,REG,W,108-93,W,-12.0,U,203.0
"Dec 20, 2017",@ Charlotte,REG,W,129-111,W,-2.0,O,212.0
"Dec 21, 2017",@ Philadelphia,REG,W,114-109,W,-4.0,O,217.5
"Dec 23, 2017",vs Philadelphia,REG,W,102-86,W,-7.5,U,218.0
"Dec 26, 2017",@ Dallas,REG,L,98-93,L,-6.0,U,209.5
"Dec 27, 2017",@ Oklahoma City,REG,L,124-107,L,3.5,O,209.0
"Dec 29, 2017",vs Atlanta,REG,W,111-98,W,-11.0,U,218.0
"Jan 1, 2018",vs Milwaukee,REG,W,131-127,L,-6.0,O,212.5
"Jan 3, 2018",@ Chicago,REG,W,124-115,W,-4.5,O,217.0
"Jan 5, 2018",@ Milwaukee,REG,W,129-110,W,1.5,O,217.0
"Jan 8, 2018",@ Brooklyn,REG,W,114-113,L,-7.5,O,218.0
"Jan 9, 2018",vs Miami,REG,L,90-89,L,-4.0,U,205.0
"Jan 11, 2018",vs Cleveland,REG,W,133-99,W,2.5,O,222.0
"Jan 13, 2018",vs Golden State,REG,L,127-125,W,5.5,O,227.5
"Jan 15, 2018",@ Philadelphia,REG,L,117-111,L,-2.0,O,220.0
"Jan 17, 2018",vs Detroit,REG,W,96-91,L,-8.5,U,212.5
