Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",vs Oklahoma City,REG,L,103-97,W,9.5,U,209.0
"Oct 29, 2016",vs Atlanta,REG,L,104-72,L,8.0,U,202.0
"Nov 1, 2016",vs Orlando,REG,L,103-101,W,5.5,O,198.5
"Nov 2, 2016",@ Charlotte,REG,L,109-93,L,13.0,O,197.0
"Nov 5, 2016",vs Cleveland,REG,L,102-101,W,12.5,U,208.5
"Nov 7, 2016",vs Utah,REG,L,109-84,L,5.0,O,190.5
"Nov 9, 2016",@ Indiana,REG,L,122-115,W,11.5,O,212.0
"Nov 11, 2016",vs Indiana,REG,W,109-105,W,5.0,O,212.5
"Nov 12, 2016",@ Atlanta,REG,L,117-96,L,14.5,O,207.5
"Nov 14, 2016",@ Houston,REG,L,115-88,L,11.5,U,214.0
"Nov 16, 2016",vs Washington,REG,W,109-102,W,7.0,O,203.5
"Nov 17, 2016",@ Minnesota,REG,L,110-86,L,11.5,U,211.0
"Nov 19, 2016",vs Phoenix,REG,W,120-105,W,2.0,O,211.0
"Nov 21, 2016",vs Miami,REG,W,101-94,W,4.5,U,201.5
"Nov 23, 2016",vs Memphis,REG,L,104-99,W,6.0,O,196.0
"Nov 25, 2016",vs Chicago,REG,L,105-89,L,9.0,U,205.5
"Nov 27, 2016",vs Cleveland,REG,L,112-108,W,11.0,O,209.5
"Nov 28, 2016",@ Toronto,REG,L,122-95,L,15.0,O,206.5
"Dec 2, 2016",vs Orlando,REG,L,105-88,L,-1.5,U,198.5
"Dec 3, 2016",vs Boston,REG,L,107-106,W,9.5,O,207.5
"Dec 5, 2016",vs Denver,REG,L,106-98,L,3.5,U,210.0
"Dec 6, 2016",@ Memphis,REG,L,96-91,W,7.5,U,194.5
"Dec 8, 2016",@ New Orleans,REG,W,99-88,W,6.5,U,204.5
"Dec 11, 2016",@ Detroit,REG,W,97-79,W,12.0,U,198.0
"Dec 14, 2016",vs Toronto,REG,L,123-114,L,8.0,O,205.0
"Dec 16, 2016",vs LA Lakers,REG,L,100-89,L,-1.0,U,210.5
"Dec 18, 2016",vs Brooklyn,REG,W,108-107,P,-1.0,P,215.0
"Dec 20, 2016",vs New Orleans,REG,L,108-93,L,3.5,U,206.0
"Dec 23, 2016",@ Phoenix,REG,L,123-116,L,5.5,O,212.5
"Dec 26, 2016",@ Sacramento,REG,L,102-100,W,8.0,U,205.0
"Dec 29, 2016",@ Utah,REG,L,100-83,L,14.5,U,196.5
"Dec 30, 2016",@ Denver,REG,W,124-122,W,10.0,O,213.5
"Jan 3, 2017",vs Minnesota,REG,W,93-91,W,4.5,U,206.0
"Jan 6, 2017",@ Boston,REG,L,110-106,W,11.0,O,212.5
"Jan 8, 2017",@ Brooklyn,REG,W,105-95,W,1.0,U,216.0
"Jan 11, 2017",vs New York,REG,W,98-97,W,2.0,U,211.0
"Jan 13, 2017",vs Charlotte,REG,W,102-93,W,5.0,U,208.0
"Jan 14, 2017",@ Washington,REG,L,109-93,L,10.0,U,210.5
"Jan 16, 2017",@ Milwaukee,REG,W,113-104,W,8.5,O,207.0
"Jan 18, 2017",vs Toronto,REG,W,94-89,W,5.5,U,215.5
"Jan 20, 2017",vs Portland,REG,W,93-92,W,2.5,U,210.0
"Jan 21, 2017",@ Atlanta,REG,L,110-93,L,10.0,O,200.0
"Jan 24, 2017",vs LA Clippers,REG,W,121-110,W,4.5,O,204.0
