Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Apr 7, 2017",vs Detroit,REG,L,114-109,L,-11.0,U,224.0
"Apr 9, 2017",@ Sacramento,REG,W,135-128,L,-9.5,O,226.0
"Apr 10, 2017",@ LA Clippers,REG,L,125-96,L,9.5,U,231.5
"Apr 12, 2017",vs Minnesota,REG,W,123-118,L,-8.0,O,227.0
"Apr 16, 2017",vs Oklahoma City,PST,W,118-87,W,-7.5,U,228.0
"Apr 19, 2017",vs Oklahoma City,PST,W,115-111,L,-7.5,O,225.0
"Apr 21, 2017",@ Oklahoma City,PST,L,115-113,W,2.5,O,224.0
"Apr 23, 2017",@ Oklahoma City,PST,W,113-109,W,1.5,U,223.0
"Apr 25, 2017",vs Oklahoma City,PST,W,105-99,L,-7.5,U,223.5
"May 1, 2017",@ San Antonio,PST,W,126-99,W,6.0,O,215.5
"May 3, 2017",@ San Antonio,PST,L,121-96,L,6.0,O,215.0
"May 5, 2017",vs San Antonio,PST,L,103-92,L,-5.5,U,215.0
"May 7, 2017",vs San Antonio,PST,W,125-104,W,-5.0,O,213.5
"May 9, 2017",@ San Antonio,PST,L,110-107,W,5.5,O,216.0
"May 11, 2017",vs San Antonio,PST,L,114-75,L,-9.0,U,209.5
