Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 27, 2016",@ Portland,REG,W,114-106,W,-2.5,O,208.5
"Oct 30, 2016",vs Utah,REG,W,88-75,W,-7.5,U,189.5
"Oct 31, 2016",vs Phoenix,REG,W,116-98,W,-12.5,O,204.5
"Nov 2, 2016",vs Oklahoma City,REG,L,85-83,L,-7.0,U,208.5
"Nov 4, 2016",@ Memphis,REG,W,99-88,W,-5.5,U,197.5
"Nov 5, 2016",@ San Antonio,REG,W,116-92,W,5.0,O,197.0
"Nov 7, 2016",vs Detroit,REG,W,114-82,W,-8.5,U,197.5
"Nov 9, 2016",vs Portland,REG,W,111-80,W,-11.0,U,210.5
"Nov 11, 2016",@ Oklahoma City,REG,W,110-108,L,-5.0,O,206.0
"Nov 12, 2016",@ Minnesota,REG,W,119-105,W,-5.5,O,207.5
"Nov 14, 2016",vs Brooklyn,REG,W,127-95,W,-14.5,O,214.5
"Nov 16, 2016",vs Memphis,REG,L,111-107,L,-12.5,O,200.5
"Nov 18, 2016",@ Sacramento,REG,W,121-115,L,-8.5,O,202.0
"Nov 19, 2016",vs Chicago,REG,W,102-95,L,-8.0,U,202.5
"Nov 21, 2016",vs Toronto,REG,W,123-115,L,-9.0,O,207.5
"Nov 23, 2016",@ Dallas,REG,W,124-104,W,-10.0,O,192.0
"Nov 25, 2016",@ Detroit,REG,L,108-97,L,-6.5,O,200.5
"Nov 27, 2016",@ Indiana,REG,L,91-70,L,-11.5,U,207.0
"Nov 29, 2016",@ Brooklyn,REG,L,127-122,L,-10.5,O,213.5
"Dec 1, 2016",@ Cleveland,REG,W,113-94,W,3.5,U,215.5
"Dec 2, 2016",@ New Orleans,REG,W,114-96,W,-4.0,O,205.5
"Dec 4, 2016",vs Indiana,REG,L,111-102,L,-11.0,O,207.5
"Dec 7, 2016",vs Golden State,REG,L,115-98,L,4.0,U,224.0
"Dec 10, 2016",vs New Orleans,REG,W,133-105,W,-14.0,O,200.0
"Dec 12, 2016",vs Portland,REG,W,121-120,L,-10.0,O,219.0
"Dec 14, 2016",@ Orlando,REG,W,113-108,L,-8.5,O,210.0
"Dec 16, 2016",@ Miami,REG,W,102-98,L,-8.0,U,206.5
"Dec 18, 2016",@ Washington,REG,L,117-110,L,-5.5,O,212.5
"Dec 20, 2016",vs Denver,REG,W,119-102,W,-8.0,O,217.5
"Dec 22, 2016",vs San Antonio,REG,W,106-101,W,2.0,O,205.5
"Dec 23, 2016",vs Dallas,REG,L,90-88,L,-3.5,U,195.0
"Dec 25, 2016",@ LA Lakers,REG,L,111-102,L,-8.0,U,213.5
"Dec 26, 2016",vs Denver,REG,L,106-102,W,4.5,U,208.5
"Dec 28, 2016",@ New Orleans,REG,L,102-98,L,-1.5,U,209.5
"Dec 30, 2016",@ Houston,REG,L,140-116,L,10.5,O,216.5
"Dec 31, 2016",@ Oklahoma City,REG,L,114-88,L,9.0,U,209.5
"Jan 2, 2017",vs Phoenix,REG,W,109-98,W,-4.5,U,213.5
"Jan 4, 2017",vs Memphis,REG,W,115-106,W,1.5,O,197.0
"Jan 6, 2017",@ Sacramento,REG,W,106-98,W,-2.0,U,212.0
"Jan 8, 2017",vs Miami,REG,W,98-86,W,-9.0,U,207.0
