Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",vs Charlotte,REG,L,107-96,L,2.0,O,194.0
"Oct 29, 2016",vs Brooklyn,REG,W,110-108,L,-8.0,O,204.5
"Oct 30, 2016",@ Detroit,REG,L,98-83,L,7.5,U,197.5
"Nov 1, 2016",@ New Orleans,REG,W,117-113,W,3.5,O,204.5
"Nov 3, 2016",vs Indiana,REG,W,125-107,W,3.0,O,211.0
"Nov 5, 2016",vs Sacramento,REG,W,117-91,W,-3.5,O,202.0
"Nov 6, 2016",@ Dallas,REG,L,86-75,L,2.5,U,199.0
"Nov 10, 2016",vs New Orleans,REG,L,112-106,L,-5.5,O,208.0
"Nov 12, 2016",vs Memphis,REG,W,106-96,W,-3.0,O,201.5
"Nov 16, 2016",@ Atlanta,REG,L,107-100,L,5.0,U,210.5
"Nov 17, 2016",@ Miami,REG,L,96-73,L,4.0,U,202.0
"Nov 19, 2016",vs Golden State,REG,L,124-121,W,8.5,O,218.0
"Nov 21, 2016",vs Orlando,REG,W,93-89,L,-6.5,U,200.5
"Nov 25, 2016",vs Toronto,REG,L,105-99,L,3.5,U,207.5
"Nov 27, 2016",@ Orlando,REG,W,104-96,W,1.0,O,196.5
"Nov 29, 2016",vs Cleveland,REG,W,118-101,W,7.0,O,213.0
"Dec 1, 2016",@ Brooklyn,REG,W,111-93,W,-5.5,U,215.0
"Dec 3, 2016",vs Brooklyn,REG,W,112-103,L,-10.0,O,214.5
"Dec 5, 2016",vs San Antonio,REG,L,97-96,W,6.5,U,203.0
"Dec 7, 2016",vs Portland,REG,W,115-107,W,-1.5,O,214.5
"Dec 9, 2016",vs Atlanta,REG,L,114-110,L,-3.0,O,205.5
"Dec 10, 2016",@ Washington,REG,L,110-105,L,4.5,O,209.0
"Dec 12, 2016",@ Toronto,REG,L,122-100,L,8.0,O,212.5
"Dec 15, 2016",vs Chicago,REG,W,108-97,W,0.0,U,206.5
"Dec 16, 2016",@ Chicago,REG,W,95-69,W,5.5,U,204.0
"Dec 20, 2016",vs Cleveland,REG,L,114-108,L,3.5,O,212.5
"Dec 21, 2016",@ Cleveland,REG,L,113-102,L,6.5,O,206.5
"Dec 23, 2016",vs Washington,REG,W,123-96,W,-3.0,O,214.0
"Dec 26, 2016",@ Washington,REG,L,107-102,L,3.5,U,212.5
"Dec 28, 2016",@ Detroit,REG,W,119-94,W,3.5,O,203.5
"Dec 30, 2016",@ Minnesota,REG,L,116-99,L,0.0,O,209.0
"Dec 31, 2016",@ Chicago,REG,W,116-96,W,3.0,O,204.0
"Jan 2, 2017",vs Oklahoma City,REG,W,98-94,W,-1.5,U,214.0
"Jan 4, 2017",@ New York,REG,W,105-104,L,-3.5,U,212.5
"Jan 6, 2017",vs New York,REG,L,116-111,L,-5.0,O,213.5
"Jan 8, 2017",vs Washington,REG,L,107-101,L,-4.5,U,213.5
"Jan 10, 2017",@ San Antonio,REG,W,109-107,W,10.0,O,203.0
"Jan 13, 2017",vs Miami,REG,W,116-108,W,-7.5,O,205.0
"Jan 15, 2017",@ Atlanta,REG,L,111-98,L,4.0,O,205.5
