Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",@ New Orleans,REG,W,107-102,W,1.0,O,207.0
"Oct 29, 2016",vs Portland,REG,L,115-113,L,1.5,O,212.0
"Oct 31, 2016",@ Toronto,REG,L,105-102,W,6.5,O,206.5
"Nov 3, 2016",@ Minnesota,REG,W,102-99,W,3.5,U,204.5
"Nov 5, 2016",@ Detroit,REG,L,103-86,L,4.5,U,200.0
"Nov 6, 2016",@ Boston,REG,W,123-107,W,7.0,O,212.0
"Nov 8, 2016",@ Memphis,REG,L,108-107,W,4.0,O,202.5
"Nov 10, 2016",vs Golden State,REG,L,125-101,L,7.0,O,222.5
"Nov 12, 2016",vs Detroit,REG,L,106-95,L,-5.0,U,203.0
"Nov 13, 2016",@ Portland,REG,L,112-105,W,7.5,O,216.5
"Nov 16, 2016",vs Phoenix,REG,W,120-104,W,-4.5,O,220.0
"Nov 18, 2016",vs Toronto,REG,L,113-111,W,3.5,O,212.5
"Nov 20, 2016",vs Utah,REG,W,105-91,W,-3.5,U,197.5
"Nov 22, 2016",vs Chicago,REG,W,110-107,W,1.5,O,208.0
"Nov 23, 2016",@ Utah,REG,L,108-83,L,7.5,U,198.5
"Nov 25, 2016",vs Oklahoma City,REG,L,132-129,L,2.5,O,215.0
"Nov 27, 2016",@ Phoenix,REG,W,120-114,W,2.5,O,213.5
"Nov 30, 2016",vs Miami,REG,L,106-98,L,-6.0,U,204.5
"Dec 2, 2016",vs Houston,REG,L,128-110,L,-4.0,O,220.0
"Dec 3, 2016",@ Utah,REG,L,105-98,P,7.0,O,201.0
"Dec 5, 2016",@ Philadelphia,REG,W,106-98,W,-3.5,U,210.0
"Dec 7, 2016",@ Brooklyn,REG,L,116-111,L,-4.5,O,221.5
"Dec 8, 2016",@ Washington,REG,L,92-85,L,5.5,U,218.5
"Dec 10, 2016",@ Orlando,REG,W,121-113,W,-2.0,O,205.5
"Dec 12, 2016",@ Dallas,REG,L,112-92,L,-2.5,O,203.5
"Dec 15, 2016",vs Portland,REG,W,132-120,W,-2.5,O,221.0
"Dec 17, 2016",vs New York,REG,W,127-114,W,-4.0,O,215.5
"Dec 19, 2016",vs Dallas,REG,W,117-107,W,-8.0,O,207.0
"Dec 20, 2016",@ LA Clippers,REG,L,119-102,L,8.0,O,217.5
"Dec 23, 2016",vs Atlanta,REG,L,109-108,L,-5.5,P,217.0
"Dec 26, 2016",@ LA Clippers,REG,W,106-102,L,-4.5,U,208.5
"Dec 28, 2016",vs Minnesota,REG,W,105-103,L,-4.0,U,217.0
"Dec 30, 2016",vs Philadelphia,REG,L,124-122,L,-10.0,O,213.5
"Jan 2, 2017",@ Golden State,REG,L,127-119,W,15.5,O,231.5
"Jan 3, 2017",vs Sacramento,REG,L,120-113,L,-3.5,O,215.0
"Jan 5, 2017",vs San Antonio,REG,L,127-99,L,7.0,O,213.5
"Jan 7, 2017",@ Oklahoma City,REG,L,121-106,L,7.5,O,220.5
"Jan 12, 2017",vs Indiana,REG,W,140-112,W,4.5,O,226.0
"Jan 16, 2017",vs Orlando,REG,W,125-112,W,-6.0,O,223.5
"Jan 17, 2017",@ LA Lakers,REG,W,127-121,W,0.0,O,230.0
