Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 27, 2016",@ Atlanta,REG,L,114-99,L,4.0,O,202.5
"Oct 30, 2016",@ Memphis,REG,L,112-103,L,-3.5,O,204.5
"Nov 2, 2016",vs Toronto,REG,L,113-103,L,0.0,O,205.0
"Nov 4, 2016",vs Atlanta,REG,W,95-92,W,-1.5,U,205.5
"Nov 5, 2016",@ Orlando,REG,L,88-86,W,6.0,U,201.0
"Nov 7, 2016",vs Houston,REG,L,114-106,L,-1.0,O,217.0
"Nov 9, 2016",vs Boston,REG,W,118-93,W,-1.0,U,212.0
"Nov 11, 2016",vs Cleveland,REG,L,105-94,L,7.5,U,211.5
"Nov 12, 2016",@ Chicago,REG,L,106-95,L,10.0,O,199.0
"Nov 16, 2016",@ Philadelphia,REG,L,109-102,L,-7.0,O,203.5
"Nov 17, 2016",vs New York,REG,W,119-112,W,-5.0,O,208.0
"Nov 19, 2016",vs Miami,REG,L,114-111,L,-4.5,O,197.5
"Nov 21, 2016",vs Phoenix,REG,W,106-101,L,-7.5,U,219.0
"Nov 25, 2016",@ Orlando,REG,W,94-91,W,-2.0,U,198.5
"Nov 26, 2016",vs San Antonio,REG,L,112-100,L,6.0,O,205.5
"Nov 28, 2016",vs Sacramento,REG,W,101-95,W,-5.0,U,210.0
"Nov 30, 2016",@ Oklahoma City,REG,L,126-115,L,6.0,O,213.5
"Dec 2, 2016",@ San Antonio,REG,L,107-105,W,9.0,O,204.0
"Dec 5, 2016",@ Brooklyn,REG,W,118-113,L,-6.5,O,218.5
"Dec 6, 2016",vs Orlando,REG,L,124-116,L,-3.0,O,200.0
"Dec 8, 2016",vs Denver,REG,W,92-85,W,-5.5,U,218.5
"Dec 10, 2016",vs Milwaukee,REG,W,110-105,W,-4.5,O,209.0
"Dec 12, 2016",@ Miami,REG,L,112-101,L,-1.5,O,207.5
"Dec 14, 2016",vs Charlotte,REG,W,109-106,W,2.0,O,210.0
"Dec 16, 2016",vs Detroit,REG,W,122-108,W,1.5,O,205.0
"Dec 18, 2016",vs LA Clippers,REG,W,117-110,W,5.5,O,212.5
"Dec 19, 2016",@ Indiana,REG,L,107-105,W,5.0,O,211.5
"Dec 21, 2016",@ Chicago,REG,W,107-97,W,4.0,U,209.5
"Dec 23, 2016",@ Milwaukee,REG,L,123-96,L,3.0,O,214.0
"Dec 26, 2016",vs Milwaukee,REG,W,107-102,W,-3.5,U,212.5
"Dec 28, 2016",vs Indiana,REG,W,111-105,W,-4.0,O,214.5
"Dec 30, 2016",vs Brooklyn,REG,W,118-95,W,-7.0,U,219.5
"Jan 2, 2017",@ Houston,REG,L,101-91,L,7.5,U,230.5
"Jan 3, 2017",@ Dallas,REG,L,113-105,L,1.0,O,201.5
"Jan 6, 2017",vs Minnesota,REG,W,112-105,W,-4.5,O,211.5
"Jan 8, 2017",@ Milwaukee,REG,W,107-101,W,4.5,U,213.5
"Jan 10, 2017",vs Chicago,REG,W,101-99,L,-12.0,U,204.0
"Jan 11, 2017",@ Boston,REG,L,117-108,L,5.5,O,217.5
