Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",@ Phoenix,REG,W,113-94,W,3.0,U,211.5
"Oct 27, 2016",vs San Antonio,REG,L,102-94,P,8.0,U,203.0
"Oct 29, 2016",vs Minnesota,REG,W,106-103,W,-1.0,O,202.5
"Oct 31, 2016",@ Atlanta,REG,L,106-95,L,7.0,U,203.5
"Nov 1, 2016",@ Miami,REG,L,108-96,L,3.5,O,199.5
"Nov 3, 2016",@ Orlando,REG,L,102-94,L,-1.0,U,198.0
"Nov 5, 2016",@ Milwaukee,REG,L,117-91,L,3.5,O,202.0
"Nov 6, 2016",@ Toronto,REG,W,96-91,W,7.5,U,198.0
"Nov 8, 2016",vs New Orleans,REG,W,102-94,W,-6.5,U,205.0
"Nov 10, 2016",vs LA Lakers,REG,L,101-91,L,-5.5,U,211.5
"Nov 11, 2016",@ Portland,REG,L,122-120,W,6.5,O,208.0
"Nov 16, 2016",vs San Antonio,REG,L,110-105,W,5.5,O,197.5
"Nov 18, 2016",vs LA Clippers,REG,L,121-115,W,8.5,O,202.0
"Nov 20, 2016",vs Toronto,REG,W,102-99,W,4.0,U,211.0
"Nov 23, 2016",vs Oklahoma City,REG,W,116-101,W,-2.0,O,214.0
"Nov 25, 2016",vs Houston,REG,L,117-104,L,3.5,O,216.5
"Nov 27, 2016",@ Brooklyn,REG,W,122-105,W,-5.0,O,220.5
"Nov 28, 2016",@ Washington,REG,L,101-95,L,5.0,U,210.0
"Dec 2, 2016",@ Boston,REG,L,97-92,W,6.0,U,211.0
"Dec 4, 2016",@ New York,REG,L,106-98,L,1.5,U,209.0
"Dec 7, 2016",@ Dallas,REG,W,120-89,W,-3.0,O,196.0
"Dec 9, 2016",vs New York,REG,L,103-100,L,-5.5,U,210.0
"Dec 10, 2016",@ Utah,REG,L,104-84,L,5.5,U,196.5
"Dec 12, 2016",vs LA Lakers,REG,W,116-92,W,-8.5,U,216.5
"Dec 14, 2016",@ Houston,REG,L,132-98,L,14.0,O,213.0
"Dec 16, 2016",@ Memphis,REG,W,96-92,W,5.0,U,193.0
"Dec 18, 2016",@ Dallas,REG,L,99-79,L,-1.0,U,194.5
"Dec 20, 2016",vs Portland,REG,W,126-121,W,1.0,O,218.0
"Dec 21, 2016",@ Utah,REG,W,94-93,W,8.0,U,193.5
"Dec 23, 2016",@ Minnesota,REG,W,109-105,W,5.0,O,206.0
"Dec 26, 2016",vs Philadelphia,REG,W,102-100,L,-8.0,U,205.0
"Dec 28, 2016",@ Portland,REG,L,102-89,L,2.0,U,206.5
"Dec 31, 2016",vs Memphis,REG,L,112-98,L,2.0,O,195.5
"Jan 3, 2017",@ Denver,REG,W,120-113,W,3.5,O,215.0
"Jan 4, 2017",vs Miami,REG,L,107-102,L,-8.0,O,204.0
"Jan 6, 2017",vs LA Clippers,REG,L,106-98,L,2.0,U,212.0
"Jan 8, 2017",vs Golden State,REG,L,117-106,W,11.5,U,226.5
"Jan 10, 2017",vs Detroit,REG,W,100-94,W,-3.0,U,205.0
"Jan 13, 2017",vs Cleveland,REG,L,120-108,L,6.5,O,214.5
"Jan 15, 2017",vs Oklahoma City,REG,L,122-118,L,1.5,O,213.5
"Jan 18, 2017",vs Indiana,REG,L,106-100,L,-2.5,U,213.0
"Jan 20, 2017",@ Memphis,REG,L,107-91,L,8.0,U,200.0
"Jan 21, 2017",@ Chicago,REG,L,102-99,W,6.5,U,205.0
"Jan 23, 2017",@ Detroit,REG,W,109-104,W,7.0,O,205.0
"Jan 25, 2017",@ Cleveland,REG,W,116-112,W,11.0,O,215.5
"Jan 27, 2017",@ Indiana,REG,L,115-111,W,4.5,O,211.5
"Jan 28, 2017",@ Charlotte,REG,W,109-106,W,7.0,O,205.0
"Jan 30, 2017",@ Philadelphia,REG,L,122-119,L,-3.0,O,207.0
"Jan 31, 2017",@ Houston,REG,L,105-83,L,12.0,U,225.5
"Feb 3, 2017",vs Phoenix,REG,L,105-103,L,-4.0,U,218.0
"Feb 4, 2017",vs Golden State,REG,W,109-106,W,14.5,U,225.5
"Feb 6, 2017",vs Chicago,REG,L,112-107,L,-4.0,O,205.5
"Feb 8, 2017",vs Boston,REG,W,108-92,W,8.5,U,211.5
"Feb 10, 2017",vs Atlanta,REG,W,108-107,W,2.0,O,210.0
"Feb 12, 2017",vs New Orleans,REG,W,105-99,W,-4.0,U,213.0
"Feb 14, 2017",@ LA Lakers,REG,W,97-96,W,2.5,U,218.5
"Feb 15, 2017",@ Golden State,REG,L,109-86,L,18.5,U,225.5
