Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",vs Miami,REG,W,104-101,W,2.5,U,209.0
"Oct 19, 2018",vs Charlotte,REG,L,120-88,L,1.5,U,215.5
"Oct 20, 2018",@ Philadelphia,REG,L,116-115,W,12.5,O,217.5
"Oct 22, 2018",@ Boston,REG,W,93-90,W,11.0,U,210.5
"Oct 25, 2018",vs Portland,REG,L,128-114,L,3.5,O,214.0
"Oct 27, 2018",@ Milwaukee,REG,L,113-91,L,9.0,U,220.0
"Oct 30, 2018",vs Sacramento,REG,L,107-99,L,-4.5,U,220.5
"Nov 2, 2018",vs LA Clippers,REG,L,120-95,L,3.5,U,219.5
"Nov 4, 2018",@ San Antonio,REG,W,117-110,W,7.5,O,207.0
"Nov 5, 2018",vs Cleveland,REG,W,102-100,L,-4.0,U,214.0
"Nov 7, 2018",vs Detroit,REG,L,103-96,L,2.5,U,213.0
"Nov 9, 2018",vs Washington,REG,W,117-108,W,4.0,O,221.5
"Nov 11, 2018",@ New York,REG,W,115-89,W,3.5,U,210.5
"Nov 12, 2018",@ Washington,REG,L,117-109,L,7.5,O,222.0
"Nov 14, 2018",vs Philadelphia,REG,W,111-106,W,5.5,U,218.0
"Nov 17, 2018",vs LA Lakers,REG,W,130-117,W,4.0,O,222.5
"Nov 18, 2018",vs New York,REG,W,131-117,W,-4.5,O,217.5
"Nov 20, 2018",vs Toronto,REG,L,93-91,W,7.0,U,219.0
"Nov 23, 2018",@ Denver,REG,L,112-87,L,8.5,U,210.5
"Nov 25, 2018",@ LA Lakers,REG,W,108-104,W,7.5,U,217.5
"Nov 26, 2018",@ Golden State,REG,L,116-110,W,7.0,O,215.5
"Nov 28, 2018",@ Portland,REG,L,115-112,W,10.0,O,215.0
"Nov 30, 2018",@ Phoenix,REG,W,99-85,W,-4.5,U,215.5
"Dec 4, 2018",@ Miami,REG,W,105-90,W,2.5,U,208.0
"Dec 5, 2018",vs Denver,REG,L,124-118,L,4.5,O,206.5
"Dec 7, 2018",vs Indiana,REG,L,112-90,L,-4.0,U,206.5
