Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Apr 4, 2019",@ Philadelphia,REG,W,128-122,W,-4.0,O,231.5
"Apr 6, 2019",vs Brooklyn,REG,L,133-128,L,-3.5,O,235.5
"Apr 7, 2019",vs Atlanta,REG,W,115-107,L,-11.5,U,235.0
"Apr 10, 2019",vs Oklahoma City,REG,L,127-116,L,4.5,O,227.5
"Apr 14, 2019",vs Detroit,PST,W,121-86,W,-15.0,U,215.5
"Apr 17, 2019",vs Detroit,PST,W,120-99,W,-15.5,O,215.0
"Apr 20, 2019",@ Detroit,PST,W,119-103,W,-9.5,O,217.5
"Apr 22, 2019",@ Detroit,PST,W,127-104,W,-12.5,O,220.5
"Apr 28, 2019",vs Boston,PST,L,112-90,L,-8.0,U,223.5
"Apr 30, 2019",vs Boston,PST,W,123-102,W,-7.5,O,219.5
"May 3, 2019",@ Boston,PST,W,123-116,W,2.0,O,220.0
"May 6, 2019",@ Boston,PST,W,113-101,W,1.0,U,220.0
"May 8, 2019",vs Boston,PST,W,116-91,W,-8.5,U,221.0
"May 15, 2019",vs Toronto,PST,W,108-100,W,-6.5,U,218.5
"May 17, 2019",vs Toronto,PST,W,125-103,W,-6.5,O,219.0
"May 19, 2019",@ Toronto,PST,L,118-112,L,2.5,O,221.5
"May 21, 2019",@ Toronto,PST,L,120-102,L,-3.0,O,216.5
"May 23, 2019",vs Toronto,PST,L,105-99,L,-7.5,U,215.5
"May 25, 2019",@ Toronto,PST,L,100-94,L,1.5,U,214.0
