Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 16, 2018",@ Golden State,REG,L,108-100,W,13.0,U,220.0
"Oct 19, 2018",@ LA Clippers,REG,L,108-92,L,3.0,U,214.0
"Oct 21, 2018",vs Sacramento,REG,L,131-120,L,-11.0,O,223.0
"Oct 25, 2018",vs Boston,REG,L,101-95,L,1.0,U,219.0
"Oct 28, 2018",vs Phoenix,REG,W,117-110,L,-13.5,O,219.0
"Oct 30, 2018",vs LA Clippers,REG,W,128-110,W,-3.0,O,228.5
"Nov 1, 2018",@ Charlotte,REG,W,111-107,W,1.0,U,230.5
"Nov 2, 2018",@ Washington,REG,W,134-111,W,3.5,O,233.0
"Nov 5, 2018",vs New Orleans,REG,W,122-116,W,-3.5,O,235.5
"Nov 7, 2018",@ Cleveland,REG,W,95-86,W,-6.0,U,216.5
"Nov 8, 2018",vs Houston,REG,W,98-80,W,5.0,U,213.5
"Nov 10, 2018",@ Dallas,REG,L,111-96,L,1.5,U,214.5
"Nov 12, 2018",vs Phoenix,REG,W,118-101,W,-8.0,O,214.5
"Nov 14, 2018",vs New York,REG,W,128-103,W,-8.5,O,213.0
"Nov 17, 2018",@ Phoenix,REG,W,110-100,W,-5.0,U,217.0
"Nov 19, 2018",@ Sacramento,REG,L,117-113,L,-5.0,O,227.0
"Nov 21, 2018",@ Golden State,REG,W,123-95,W,-1.0,U,223.0
"Nov 23, 2018",vs Charlotte,REG,W,109-104,L,-6.5,U,228.5
"Nov 24, 2018",vs Denver,REG,L,105-98,L,-6.0,U,217.0
"Nov 28, 2018",vs Cleveland,REG,W,100-83,W,-12.5,U,215.5
"Nov 30, 2018",vs Atlanta,REG,W,124-109,W,-13.0,O,230.0
"Dec 3, 2018",@ Detroit,REG,W,110-83,W,-2.0,U,218.0
"Dec 5, 2018",@ Brooklyn,REG,W,114-112,L,-6.5,O,221.0
"Dec 7, 2018",@ Chicago,REG,L,114-112,L,-8.5,O,218.5
"Dec 10, 2018",vs Utah,REG,W,122-113,W,-5.0,O,217.5
"Dec 12, 2018",@ New Orleans,REG,L,118-114,L,-2.0,U,234.5
"Dec 14, 2018",@ Denver,REG,L,109-98,L,-2.0,U,217.5
"Dec 15, 2018",vs LA Clippers,REG,W,110-104,L,-6.5,U,222.5
"Dec 17, 2018",vs Chicago,REG,W,121-96,W,-12.5,O,212.5
"Dec 19, 2018",@ Sacramento,REG,W,132-113,W,-4.5,O,232.0
"Dec 22, 2018",@ Utah,REG,W,107-106,W,2.0,U,219.5
"Dec 23, 2018",vs Minnesota,REG,L,114-112,L,-6.5,O,221.5
"Dec 25, 2018",@ Houston,REG,L,113-109,L,-1.0,P,222.0
"Dec 28, 2018",@ Phoenix,REG,W,118-102,W,-4.5,U,226.0
"Dec 30, 2018",@ Dallas,REG,L,105-103,L,-2.5,U,226.0
"Dec 31, 2018",vs Dallas,REG,W,122-102,W,-7.5,P,224.0
"Jan 2, 2019",@ LA Lakers,REG,W,107-100,W,-5.0,U,229.5
"Jan 4, 2019",@ Portland,REG,W,111-109,W,1.0,U,223.5
"Jan 6, 2019",vs Washington,REG,L,116-98,L,-10.0,U,227.5
"Jan 8, 2019",vs Minnesota,REG,L,119-117,L,-8.0,O,228.5
"Jan 10, 2019",@ San Antonio,REG,L,154-147,L,-1.5,O,224.5
"Jan 12, 2019",vs San Antonio,REG,W,122-112,W,-6.0,O,226.5
"Jan 15, 2019",@ Atlanta,REG,L,142-126,L,-10.0,O,234.5
"Jan 17, 2019",vs LA Lakers,REG,L,138-128,L,-10.0,O,226.0
"Jan 19, 2019",@ Philadelphia,REG,W,117-115,W,3.5,U,235.0
"Jan 21, 2019",@ New York,REG,W,127-109,W,-9.0,O,225.5
"Jan 22, 2019",vs Portland,REG,W,123-114,W,-4.0,O,225.0
"Jan 24, 2019",vs New Orleans,REG,W,122-116,L,-14.0,O,231.5
"Jan 27, 2019",vs Milwaukee,REG,W,118-112,W,1.0,U,235.5
"Jan 29, 2019",@ Orlando,REG,W,126-117,W,-3.5,O,222.5
"Feb 1, 2019",@ Miami,REG,W,118-102,W,-3.5,O,219.0
"Feb 3, 2019",@ Boston,REG,L,134-129,L,4.0,O,228.0
"Feb 5, 2019",vs Orlando,REG,W,132-122,W,-9.0,O,223.5
"Feb 7, 2019",vs Memphis,REG,W,117-95,W,-13.5,U,215.0
"Feb 9, 2019",@ Houston,REG,W,117-112,W,2.5,U,238.0
"Feb 11, 2019",vs Portland,REG,W,120-111,W,-4.5,U,232.0
"Feb 14, 2019",@ New Orleans,REG,L,131-122,L,-4.5,O,238.5
"Feb 22, 2019",vs Utah,REG,W,148-147,L,-4.0,O,226.5
"Feb 23, 2019",vs Sacramento,REG,L,119-116,L,-6.0,U,240.0
