Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Apr 3, 2019",@ Brooklyn,REG,W,115-105,W,-2.0,U,228.5
"Apr 5, 2019",@ Charlotte,REG,L,113-111,L,-6.0,P,224.0
"Apr 7, 2019",vs Miami,REG,W,117-109,W,-5.5,O,215.5
"Apr 9, 2019",@ Minnesota,REG,W,120-100,W,-7.5,U,227.0
"Apr 13, 2019",vs Orlando,PST,L,104-101,L,-9.5,U,212.5
"Apr 16, 2019",vs Orlando,PST,W,111-82,W,-11.0,U,212.5
"Apr 19, 2019",@ Orlando,PST,W,98-93,L,-5.5,U,211.0
"Apr 21, 2019",@ Orlando,PST,W,107-85,W,-5.5,U,206.0
"Apr 23, 2019",vs Orlando,PST,W,115-96,W,-11.5,O,206.0
"Apr 27, 2019",vs Philadelphia,PST,W,108-95,W,-6.5,U,223.0
"Apr 29, 2019",vs Philadelphia,PST,L,94-89,L,-7.5,U,220.0
"May 2, 2019",@ Philadelphia,PST,L,116-95,L,-1.5,U,216.5
"May 5, 2019",@ Philadelphia,PST,W,101-96,W,2.0,U,216.0
"May 7, 2019",vs Philadelphia,PST,W,125-89,W,-6.0,O,212.5
"May 9, 2019",@ Philadelphia,PST,L,112-101,L,-1.5,O,211.5
"May 12, 2019",vs Philadelphia,PST,W,92-90,L,-6.0,U,210.0
"May 15, 2019",@ Milwaukee,PST,L,108-100,L,6.5,U,218.5
"May 17, 2019",@ Milwaukee,PST,L,125-103,L,6.5,O,219.0
"May 19, 2019",vs Milwaukee,PST,W,118-112,W,-2.5,O,221.5
"May 21, 2019",vs Milwaukee,PST,W,120-102,W,3.0,O,216.5
"May 23, 2019",@ Milwaukee,PST,W,105-99,W,7.5,U,215.5
"May 25, 2019",vs Milwaukee,PST,W,100-94,W,-1.5,U,214.0
"May 30, 2019",vs Golden State,PST,W,118-109,W,-1.5,O,212.5
"Jun 2, 2019",vs Golden State,PST,L,109-104,L,-2.5,P,213.0
"Jun 5, 2019",@ Golden State,PST,W,123-109,W,3.0,O,211.5
"Jun 7, 2019",@ Golden State,PST,W,105-92,W,5.0,U,215.0
"Jun 10, 2019",vs Golden State,PST,L,106-105,L,-1.0,U,217.0
"Jun 13, 2019",@ Golden State,PST,W,114-110,W,2.5,O,212.0
