Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",vs Memphis,REG,W,111-83,W,-7.5,U,204.5
"Oct 19, 2018",@ Milwaukee,REG,L,118-101,L,4.0,O,216.5
"Oct 20, 2018",vs Brooklyn,REG,W,132-112,W,-8.0,O,214.0
"Oct 22, 2018",@ Minnesota,REG,L,101-91,L,2.0,U,228.5
"Oct 24, 2018",@ San Antonio,REG,W,116-96,W,1.5,O,210.5
"Oct 27, 2018",@ Cleveland,REG,W,119-107,W,-7.0,O,213.5
"Oct 29, 2018",vs Portland,REG,L,103-93,L,-4.0,U,215.5
"Oct 31, 2018",@ New York,REG,W,107-101,P,-6.0,U,208.5
"Nov 2, 2018",@ Chicago,REG,W,107-105,L,-7.0,U,213.0
"Nov 3, 2018",vs Boston,REG,W,102-101,W,3.5,U,205.5
"Nov 5, 2018",vs Houston,REG,L,98-94,L,-1.0,U,215.5
"Nov 7, 2018",vs Philadelphia,REG,L,100-94,L,-3.0,U,216.0
"Nov 9, 2018",@ Miami,REG,W,110-102,W,-2.0,O,207.0
"Nov 11, 2018",@ Houston,REG,L,115-103,L,2.5,O,209.5
"Nov 16, 2018",vs Miami,REG,W,99-91,W,-5.0,U,213.5
"Nov 17, 2018",vs Atlanta,REG,W,97-89,L,-11.0,U,219.0
"Nov 19, 2018",vs Utah,REG,W,121-94,W,4.0,O,206.0
"Nov 21, 2018",@ Charlotte,REG,L,127-109,L,3.5,O,215.5
"Nov 23, 2018",vs San Antonio,REG,L,111-100,L,-1.5,O,208.0
"Nov 26, 2018",@ Utah,REG,W,121-88,W,4.5,O,206.5
"Nov 27, 2018",@ Phoenix,REG,W,109-104,W,-2.5,U,216.5
"Nov 29, 2018",@ LA Lakers,REG,L,104-96,L,5.0,U,220.5
"Dec 1, 2018",@ Sacramento,REG,L,111-110,L,-1.5,U,225.0
"Dec 4, 2018",vs Chicago,REG,W,96-90,L,-8.0,U,210.5
"Dec 7, 2018",@ Orlando,REG,W,112-90,W,4.0,U,206.5
"Dec 8, 2018",vs Sacramento,REG,W,107-97,W,-5.5,U,222.5
"Dec 10, 2018",vs Washington,REG,W,109-101,W,-6.0,U,216.5
"Dec 12, 2018",vs Milwaukee,REG,W,113-97,W,2.0,U,219.0
"Dec 14, 2018",@ Philadelphia,REG,W,113-101,W,3.0,U,219.0
"Dec 16, 2018",vs New York,REG,W,110-99,L,-12.0,U,216.5
"Dec 18, 2018",vs Cleveland,REG,L,92-91,L,-12.5,U,207.5
"Dec 19, 2018",@ Toronto,REG,L,99-96,W,4.5,U,210.5
"Dec 21, 2018",@ Brooklyn,REG,W,114-106,W,-3.0,O,209.5
"Dec 23, 2018",vs Washington,REG,W,105-89,W,-11.0,U,219.0
"Dec 26, 2018",@ Atlanta,REG,W,129-121,W,-6.5,O,219.5
"Dec 28, 2018",vs Detroit,REG,W,125-88,W,-7.0,O,206.5
"Dec 31, 2018",vs Atlanta,REG,W,116-108,L,-13.0,O,220.5
"Jan 4, 2019",@ Chicago,REG,W,119-116,L,-7.0,O,201.0
"Jan 6, 2019",@ Toronto,REG,L,121-105,L,1.5,O,214.0
"Jan 8, 2019",@ Cleveland,REG,W,123-115,L,-9.5,O,208.0
"Jan 9, 2019",@ Boston,REG,L,135-108,L,7.0,O,215.5
"Jan 11, 2019",@ New York,REG,W,121-106,W,-8.0,O,218.0
"Jan 15, 2019",vs Phoenix,REG,W,131-97,W,-10.5,O,219.0
"Jan 17, 2019",vs Philadelphia,REG,L,120-96,L,-3.0,U,224.5
"Jan 19, 2019",vs Dallas,REG,W,111-99,W,-7.5,U,215.0
"Jan 20, 2019",vs Charlotte,REG,W,120-95,W,-8.0,U,218.5
"Jan 23, 2019",vs Toronto,REG,W,110-106,L,-6.5,U,217.0
"Jan 26, 2019",@ Memphis,REG,L,106-103,L,-5.0,O,202.5
"Jan 28, 2019",vs Golden State,REG,L,132-100,L,7.0,O,228.5
"Jan 30, 2019",@ Washington,REG,L,107-89,L,1.0,U,218.0
"Jan 31, 2019",@ Orlando,REG,L,107-100,L,3.5,U,208.0
"Feb 2, 2019",@ Miami,REG,W,95-88,W,2.0,U,204.0
"Feb 4, 2019",@ New Orleans,REG,W,109-107,L,-3.5,U,219.0
"Feb 5, 2019",vs LA Lakers,REG,W,136-94,W,2.5,O,218.5
"Feb 7, 2019",vs LA Clippers,REG,W,116-92,W,-6.5,U,221.0
"Feb 9, 2019",vs Cleveland,REG,W,105-90,W,-14.0,U,211.0
"Feb 11, 2019",vs Charlotte,REG,W,99-90,W,-5.5,U,215.0
"Feb 13, 2019",vs Milwaukee,REG,L,106-97,L,4.5,U,219.0
"Feb 22, 2019",vs New Orleans,REG,W,126-111,W,-5.0,O,223.0
